source,target,regex,type,code,match,hits,title
https://socialbackers.com/blog/249-20-most-liked-u-s-facebook-pages,https://emplifi.io/resources/blog/249-20-most-liked-u-s-facebook-pages,0,url,301,url,0,10 Most Popular US Facebook Pages 2021
https://socialbackers.com/blog/1099-fake-followers-check-a-new-free-tool-from-socialbakers,https://emplifi.io/resources/blog/1099-fake-followers-check-a-new-free-tool-from-socialbakers,0,url,301,url,0,"Fake Followers Check: The Tools, How-To's, and Not-to-Do's"
https://socialbackers.com/blog/impact-of-coronavirus-on-education,https://emplifi.io/resources/blog/impact-of-coronavirus-on-education,0,url,301,url,0,Impact of Coronavirus on Education
https://socialbackers.com/blog/1826-everything-you-need-to-know-about-hashtags-on-facebook,https://emplifi.io/resources/blog/1826-everything-you-need-to-know-about-hashtags-on-facebook,0,url,301,url,0,Everything You Need to Know About #Hashtags on Facebook
https://socialbackers.com/blog/top-beauty-influencers,https://emplifi.io/resources/blog/top-beauty-influencers,0,url,301,url,0,The Top 21 Beauty Influencers Brands Need to Watch in 2021
https://socialbackers.com/blog/facebook-page-seo-optimization,https://emplifi.io/resources/blog/facebook-page-seo-optimization,0,url,301,url,0,10 Actionable Tips to Improve Your Facebook Page's SEO
https://socialbackers.com/blog/10-brands-who-are-seriously-funny-on-april-fools-day,https://emplifi.io/resources/blog/10-brands-who-are-seriously-funny-on-april-fools-day,0,url,301,url,0,10 Brands Who Are Seriously Funny on April Fools' Day
https://socialbackers.com/blog/brands-that-rule-tiktok,https://emplifi.io/resources/blog/brands-that-rule-tiktok,0,url,301,url,0,10 Brands That Rule on TikTok
https://socialbackers.com/blog/best-photo-video-editing-apps-social-media,https://emplifi.io/resources/blog/best-photo-video-editing-apps-social-media,0,url,301,url,0,10 Best Photo and Video Editing Apps for Social Media
https://socialbackers.com/blog/11-fashion-instagram-influencers-to-know,https://emplifi.io/resources/blog/11-fashion-instagram-influencers-to-know,0,url,301,url,0,Top 11 Fashion Influencers on Instagram You Need to Know in 2021
